ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
532577078448,7630,6452,8599,14.813,Gaia DR3 2364698874511956480,14.513,0.015,-0.045,+0.320,-0.304,0.145,0.071,0.145,+0.585,0.061,+0.514,0.061,13.627,0.026,13.284,0.035,-0.829,-0.464,-1.088,0.043,0.043,0.043,0.019,0.019,0.019,RRAB,RRL_ab,NA,RRAB,2.06400,-20.99796,1SWASP J000815.36-205952.5
188979026520,6709,5983,7623,14.584,Gaia DR3 2850637345600831872,14.317,0.014,+0.039,+0.287,-0.239,0.145,0.071,0.145,+0.566,0.058,+0.495,0.058,13.421,0.028,13.273,0.040,-0.755,-0.507,-1.033,0.043,0.043,0.043,0.019,0.019,0.019,RRAB,RRL_ab,NA,RRAB,2.09948,+26.55647,NSVS 6290805
17180763702,3189,2841,3522,15.659,Gaia DR3 420651609535393920,15.187,0.005,+1.915,+2.193,+1.678,0.754,0.355,0.775,+1.007,0.020,+0.638,0.031,13.738,0.025,13.271,0.036,+0.995,+1.254,+0.773,0.225,0.217,0.231,0.097,0.093,0.099,RRC,RRL_c,NA,RR,2.09967,+55.47013,WISE J000823.9+552812
661428931359,4661,4115,5159,12.568,Gaia DR3 420224861585204864,15.123,0.009,+1.297,+1.567,+1.076,0.484,0.237,0.484,+0.880,0.039,+0.643,0.039,13.744,0.032,13.392,0.047,+0.257,+0.527,+0.036,0.145,0.145,0.145,0.062,0.062,0.062,RRAB,NonVar,RRab,RRAB,2.29306,+54.57882,PS1-3PI J000910.33+543443.7
60130123655,6199,5244,7344,15.558,Gaia DR3 383316313520809344,15.384,0.009,+1.277,+1.641,+0.909,0.145,0.071,0.145,+0.621,0.049,+0.550,0.049,14.305,0.029,14.043,0.044,+0.300,+0.664,-0.068,0.043,0.043,0.043,0.019,0.019,0.019,RRAB,RRL_ab,NA,RRAB,2.31654,+40.87607,ASASSN-V J000915.97+405233.9
60129786677,1565,1412,1728,13.775,Gaia DR3 420234104354865920,14.785,0.005,+3.182,+3.431,+2.967,0.630,0.296,0.630,+0.735,0.019,+0.427,0.022,13.792,0.029,13.486,0.038,+2.631,+2.862,+2.416,0.188,0.181,0.188,0.081,0.077,0.081,EB,NonVar,EB,RRC,2.33100,+54.81880,PS1-3PI J000919.44+544907.6
51540240418,8260,6572,10673,15.834,Gaia DR3 384523787743362432,15.636,0.012,+0.881,+1.378,+0.325,0.170,0.083,0.170,+0.693,0.045,+0.610,0.045,14.574,0.030,14.391,0.062,-0.062,+0.435,-0.618,0.051,0.051,0.051,0.022,0.022,0.022,RRAB,RRL_ab,NA,RRAB,2.40168,+42.38240,1SWASP J000937.86+422240.1
343597906181,8351,6982,10102,15.487,Gaia DR3 2545053106845968384,15.141,0.015,+0.435,+0.824,+0.022,0.097,0.047,0.097,+0.652,0.066,+0.605,0.066,14.341,0.028,14.008,0.053,-0.297,+0.092,-0.710,0.029,0.029,0.029,0.012,0.012,0.012,RRAB,RRL_ab,NA,RRAB,2.42687,-0.56290,Loneos-RR 727
635655373042,6141,5361,6952,14.698,Gaia DR3 2310133685838118656,14.426,0.016,+0.452,+0.747,+0.182,0.033,0.016,0.033,+0.557,0.066,+0.541,0.066,13.672,0.022,13.338,0.029,-0.279,+0.016,-0.549,0.010,0.010,0.010,0.004,0.004,0.004,RRAB,RRL_ab,NA,RRAB,2.43367,-33.98892,DD Scl
661428667349,4369,3702,5308,12.185,Gaia DR3 2444505001869377920,15.404,0.012,+2.154,+2.514,+1.731,0.048,0.024,0.048,+0.629,0.051,+0.605,0.051,14.479,0.029,14.173,0.058,+1.263,+1.623,+0.840,0.014,0.014,0.014,0.006,0.006,0.006,RRAB,NonVar,RRab,RRAB,2.44140,-5.02658,PS1-3PI J000945.92-050135.7
