ASASSN_id,distance,distance_low,distance_high,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name
180388861098,905,884,925,11.353,0.023,11.123,0.022,+1.512,+1.563,+1.464,0.058,0.058,0.058,0.025,0.025,0.025,EB_EC,EW,EC|RRC,2.80154,+22.23589,ASAS J001113+2214.2
188979096980,5347,4579,6168,14.340,0.029,14.126,0.063,+0.605,+0.942,+0.295,0.094,0.094,0.094,0.040,0.040,0.040,RRL_ab,NA,RRAB,2.84346,+22.94428,CSS_J001122.3+225639
94489950994,3663,3438,3909,12.783,0.022,12.445,0.023,-0.123,+0.014,-0.264,0.087,0.087,0.087,0.037,0.037,0.037,RRL_ab,NA,RRAB,2.85452,+37.62780,NSVS 6322806
214748600537,335,334,338,9.090,0.026,8.851,0.019,+1.451,+1.457,+1.431,0.014,0.014,0.014,0.006,0.006,0.006,EB_ED,RRC,RRC|EC,2.87817,+19.66019,ASAS J001131+1939.6
274877935580,2099,1999,2232,11.323,0.026,11.078,0.025,-0.330,-0.224,-0.463,0.043,0.043,0.043,0.019,0.019,0.019,RRL_ab,NA,RRAB/BL,2.92125,-1.74869,RY Psc
77310272435,7653,6361,9048,14.386,0.034,13.999,0.067,-0.177,+0.224,-0.541,0.144,0.144,0.144,0.062,0.062,0.062,RRL_ab,NA,RRAB,2.98536,-82.67307,ASASSN-V J001156.29-824023.0
274878466806,3765,3584,3996,12.962,0.023,12.721,0.027,+0.083,+0.190,-0.046,0.000,0.000,0.000,0.000,0.000,0.000,RRL_c,NA,RRC,3.13171,-14.03592,ASAS J001231-1402.1
388378,1023,1008,1042,12.573,0.023,12.019,0.022,+2.184,+2.216,+2.144,0.340,0.340,0.340,0.146,0.146,0.146,EB_ESD,EW,RRC,3.22345,+64.30151,WISE J001253.6+641805
412317087784,4996,4560,5452,12.925,0.030,12.743,0.030,-0.575,-0.377,-0.765,0.007,0.007,0.007,0.003,0.003,0.003,RRL_ab,NA,RRAB,3.34148,-42.91984,ASAS J001323-4255.2
515396435777,7634,6120,10000,14.890,0.036,14.610,0.089,+0.476,+0.956,-0.110,0.000,0.000,0.000,0.000,0.000,0.000,RRL_d,NA,RRD,3.35154,-28.53653,DE Scl
644245650144,10544,8284,14193,14.993,0.037,14.465,0.072,-0.142,+0.382,-0.787,0.020,0.020,0.020,0.008,0.008,0.008,RRL_ab,NA,RRAB,3.37729,-67.68851,ASASSN-V J001330.55-674118.6
231929489127,5144,4513,6162,14.771,0.037,14.372,0.080,+1.178,+1.463,+0.786,0.036,0.036,0.036,0.015,0.015,0.015,RRL_ab,NA,RRAB,3.38853,+28.49533,CSS_J001333.2+282943
