ASASSN_id,distance,distance_low,distance_high,g_mag,Gaia_name,G_mag,G_mag_err,abs_mag_G,abs_mag_G_low,abs_mag_G_high,ext_correct_G,ext_correct_G_low,ext_correct_G_high,BP_RP,BP_RP_err,BP_RP_0,BP_RP_0_err,J_mag,J_mag_err,K_mag,K_mag_err,abs_mag_J,abs_mag_J_low,abs_mag_J_high,ext_correct_J,ext_correct_J_low,ext_correct_J_high,ext_correct_K,ext_correct_K_low,ext_correct_K_high,FinalType,ML_classifier_type,visual_classification_type,VSX_type,VSX_RA,VSX_Dec,VSX_name,J-K,J-K_err,sigma_distance,sigma_dist_term,E(B-V),A_J,E(J-K),abs_mag_J_err,above_line
377958233929,2664,2469,2856,12.842,Gaia DR3 5717322754909852288,12.907,0.008,0.561,0.75,0.404,0.218,0.095,0.224,0.224,0.028,0.117,0.031,12.498,0.033,12.429,0.034,0.30532889750868314,0.477,0.152,0.065,0.058,0.067,0.028,0.025,0.029,EW,EB_EC,EW,EC|RRC,118.24171,-19.32286,ASAS J075258-1919.3,0.06899999999999906,0.04738143096192854,193.5,0.15772519190743095,0.07142857142857142,0.065,0.037142857142857144,0.16127146729113592,True
609886387053,1961,1924,2000,13.977,Gaia DR3 5544424684577352448,13.415,0.003,0.848,0.902,0.791,1.105,0.534,1.119,1.964,0.005,1.424,0.014,10.84,0.023,9.911,0.021,-0.95238796833892,-0.907,-0.999,0.33,0.326,0.334,0.141,0.14,0.143,EW,EB_EC,EW,RRC,120.63725,-36.69151,ASASSN-V J080232.94-364129.4,0.9290000000000003,0.03114482300479487,38.0,0.04207850666069242,0.3626373626373626,0.33,0.18857142857142858,0.05821168888456971,True
420907112400,943,896,988,11.773,Gaia DR3 5516189019818899072,11.454,0.004,0.988,1.114,0.872,0.593,0.282,0.608,0.743,0.01,0.453,0.018,10.557,0.024,10.256,0.021,0.5074415363133578,0.623,0.402,0.177,0.172,0.181,0.076,0.074,0.078,EB,EB_EC,EB,RRAB,122.8929,-47.84597,WISE J081134.2-475045,0.30100000000000016,0.03189043743820395,46.0,0.10592548339103701,0.19450549450549448,0.177,0.10114285714285713,0.1100431644020875,True
412317673929,2439,2345,2573,14.714,Gaia DR3 5533487296963447552,14.337,0.005,1.041,1.153,0.888,1.36,0.651,1.397,1.038,0.018,0.374,0.037,12.82,0.023,12.296,0.021,0.4779409984313491,0.571,0.351,0.406,0.398,0.417,0.174,0.171,0.179,EW,EB_ESD,EW,RRC,122.91127,-41.5899,ASASSN-V J081138.70-413523.6,0.5240000000000009,0.03114482300479487,114.0,0.1014956353771437,0.4461538461538462,0.406,0.232,0.1117082091907757,True
575526631979,1905,1791,2022,12.676,Gaia DR3 5696874892345682176,12.596,0.004,1.197,1.331,1.067,0.0,0.0,0.0,0.551,0.012,0.551,0.012,11.844,0.026,11.569,0.024,0.4445250999418082,0.579,0.315,0.0,0.0,0.0,0.0,0.0,0.0,EW,EB_EC,EW,DCEP-FO|RRAB|EC|ESD,125.42804,-23.13967,ASAS J082143-2308.4,0.2749999999999986,0.03538361202590826,115.5,0.13165620120689128,0.0,0.0,0.0,0.1341989393260224,True
532576972141,2695,2604,2797,14.56,Gaia DR3 5629711057063657984,14.111,0.004,1.488,1.563,1.408,0.47,0.23,0.47,0.967,0.015,0.737,0.015,12.771,0.026,12.356,0.026,0.47820615238621456,0.553,0.398,0.14,0.14,0.14,0.06,0.06,0.06,EW,EB_EC,EW,RRAB,140.9779,-34.53916,WISE J092354.6-343220,0.4150000000000009,0.03676955262170047,96.5,0.07775402134260444,0.15384615384615385,0.14,0.08,0.0831726387398295,True
661427652040,2630,2466,2815,15.745,Gaia DR3 5312351869134024064,15.52,0.004,2.442,2.652,2.216,0.978,0.444,1.057,1.654,0.015,1.176,0.074,13.469,0.029,12.808,0.039,1.0772212575512083,1.238,0.907,0.292,0.271,0.315,0.125,0.116,0.135,EW,CEPH_Other,EW,RRAB,140.99049,-52.93666,WISE J092357.7-525611,0.6609999999999996,0.048600411520891465,174.5,0.14407678154394948,0.32087912087912085,0.292,0.16685714285714284,0.14983911031524094,True
455267641946,2095,2022,2146,11.768,Gaia DR3 5313264498138891008,13.671,0.005,1.143,1.251,1.069,0.922,0.435,0.944,1.24,0.016,0.789,0.031,11.996,0.03,11.507,0.026,0.11507986348842925,0.201,0.056,0.275,0.266,0.282,0.118,0.114,0.121,EW,NonVar,EW,RRAB,141.17227,-51.86413,WISE J092441.3-515150,0.48900000000000077,0.039698866482558416,62.0,0.06426314529355992,0.30219780219780223,0.275,0.15714285714285717,0.07606577313760239,True
566936206544,2720,2613,2827,13.743,Gaia DR3 5250104598858862336,13.624,0.003,0.959,1.046,0.875,0.492,0.241,0.492,0.559,0.008,0.318,0.008,12.86,0.024,12.573,0.026,0.5401554798290056,0.627,0.456,0.147,0.147,0.147,0.063,0.063,0.063,EW,EB_ED,EW,RRC,142.70534,-64.33916,ASASSN-V J093049.28-642021.0,0.28699999999999903,0.03538361202590826,107.0,0.08542189258023518,0.16153846153846152,0.147,0.08399999999999999,0.08993881104389383,True
395137606177,2502,2417,2581,13.932,Gaia DR3 5418231707830599552,13.548,0.003,1.377,1.452,1.309,0.18,0.088,0.18,1.047,0.01,0.959,0.01,12.096,0.029,11.505,0.026,0.05056347321299475,0.126,-0.017,0.054,0.054,0.054,0.023,0.023,0.023,EW,EB_EC,EW,RRC,148.73435,-43.03283,ASASSN-V J095456.24-430158.2,0.5909999999999993,0.03894868418830089,82.0,0.07116736114321871,0.05934065934065934,0.054,0.030857142857142857,0.07703864804167657,True
661427551468,3030,2910,3173,13.716,Gaia DR3 5244070135446433152,14.173,0.004,1.176,1.265,1.076,0.59,0.288,0.59,0.998,0.015,0.71,0.015,12.968,0.023,12.533,0.026,0.3847868574884769,0.473,0.285,0.176,0.176,0.176,0.075,0.075,0.075,EW,EB_EC,EW,RRAB,149.61336,-67.92534,WISE J095827.2-675531,0.4350000000000005,0.03471310991541956,131.5,0.09424046925788383,0.19340659340659339,0.176,0.10057142857142856,0.09859019244299175,True
352187615855,3314,3112,3518,14.523,Gaia DR3 5418299366457200640,13.897,0.003,1.084,1.221,0.955,0.211,0.103,0.211,1.5,0.005,1.397,0.005,11.989,0.026,11.258,0.021,-0.6757625204165916,-0.539,-0.805,0.063,0.063,0.063,0.027,0.027,0.027,EW,NonVar,EW,RRC,149.95496,-42.64343,ASASSN-V J095949.19-423836.4,0.7310000000000016,0.033421549934136804,203.0,0.13301415182009674,0.06923076923076923,0.063,0.036000000000000004,0.13567776009508611,True
463856556096,3132,2997,3291,14.001,Gaia DR3 5242332941432688000,13.917,0.005,1.045,1.141,0.937,0.393,0.192,0.393,0.468,0.021,0.276,0.021,13.26,0.024,13.055,0.033,0.6638912330704718,0.76,0.556,0.117,0.117,0.117,0.05,0.05,0.05,EW,EB_EC,EW,RRC,151.35789,-71.53853,WISE J100525.8-713218,0.20500000000000007,0.040804411526206334,147.0,0.10191776634702747,0.1285714285714286,0.11700000000000002,0.06685714285714286,0.10535711222868291,True
635655603412,441,430,450,9.655,Gaia DR3 5259830741272039424,9.413,0.003,0.654,0.722,0.599,0.537,0.256,0.548,0.368,0.009,0.105,0.015,8.81,0.019,8.669,0.021,0.427807052660807,0.487,0.38,0.16,0.156,0.164,0.069,0.067,0.07,EW,LPV_Mira_AGB_C,EW,EC|RRC|ESD,152.28408,-55.91817,ASAS J100908-5555.1,0.14100000000000001,0.02831960451701259,10.0,0.04923973717723943,0.1758241758241758,0.16,0.09142857142857143,0.05515026488860788,True
661428954473,1056,1040,1075,11.58,Gaia DR3 1065888497775052416,11.355,0.006,1.189,1.222,1.15,0.048,0.024,0.048,0.797,0.021,0.773,0.021,10.338,0.022,9.966,0.016,0.20568040901103157,0.239,0.167,0.014,0.014,0.014,0.006,0.006,0.006,EB,EB_ESD,EB,RR,155.95648,66.5076,NSVS 2571485,0.3719999999999999,0.027202941017470887,17.5,0.03598557496830921,0.015384615384615384,0.014,0.008,0.04220096688228603,True
644245787423,1313,1260,1374,12.844,Gaia DR3 5238602642095348480,12.614,0.005,1.197,1.307,1.073,0.826,0.394,0.851,0.735,0.018,0.331,0.028,11.664,0.024,11.271,0.023,0.8256763695526049,0.922,0.72,0.247,0.24,0.254,0.106,0.103,0.109,EW,EB_EC,EW,EC|RRC|ESD,164.02942,-66.72072,ASAS J105607-6643.2,0.3929999999999989,0.03324154027718933,57.0,0.094268033010226,0.2714285714285714,0.247,0.14114285714285713,0.10036210463923652,True
